,name,productUrl,price,discount,ratingScore,review,inStock,location,image,Seller Name,Brand Name,Seller Id
1814,Soap Wall Dispenser - 800ml (Made In Malaysia),//www.daraz.pk/products/soap-wall-dispenser-800ml-made-in-malaysia-i145576839-s1307746940.html?search=1,"Rs. 2,000",,5,8,True,Pakistan,https://static-01.daraz.pk/p/c64fd9c2099c04cb81d6acca211c3923.jpg,Home Tech International (Lahore),Home Tech,16944
1815,Bath Stool Round Millat (SPRING SERIES) Pack of 2,//www.daraz.pk/products/bath-stool-round-millat-spring-series-pack-of-2-i134191926-s1294586009.html?search=1,Rs. 640,,5,2,True,Pakistan,https://static-01.daraz.pk/p/mdc/4b27fd7a524f101adfb1f11648eb670e.jpg,Millat Plastic Products,Millat Plastic Products,1142943
1816,Imported Liquid Soap Dispenser 400ml - Imenab (Gloria),//www.daraz.pk/products/imported-liquid-soap-dispenser-400ml-imenab-gloria-i146504211-s1309338853.html?search=1,"Rs. 1,149",-23%,4,1,True,Pakistan,https://static-01.daraz.pk/p/21e1437d4987c8b6bbd650d0c21d5a98.jpg,Suriya eShop,Suriya eShop,1149217
1817,Plastic Bathroom Accessories Set Of 5 High Quality With Screws,//www.daraz.pk/products/plastic-bathroom-accessories-set-of-5-high-quality-with-screws-i130863120-s1290752555.html?search=1,Rs. 599,-14%,4.78571,14,True,Pakistan,https://static-01.daraz.pk/p/f7789ace400b099f70205833fea6e1aa.jpg,M.M Hardware,M.M Hardware,1016948
1818,Digital Body Weight Glass Scale Personal Machine,//www.daraz.pk/products/digital-body-weight-glass-scale-personal-machine-i100036282-s1021679275.html?search=1,"Rs. 1,699",-51%,4.61538,13,True,Pakistan,https://static-01.daraz.pk/original/53382476d391c88effbd202af274edc0.jpg,Advanced Instrument (Karachi),Senior,10526
1819,Blooming Flower Bath Multicolor,//www.daraz.pk/products/blooming-flower-bath-multicolor-for-infants-i133318427-s1293759521.html?search=1,"Rs. 1,519",-24%,5,4,True,Pakistan,https://static-01.daraz.pk/p/234a20ea3049d3cfb4c26a0ed4db4a27.jpg,A.H. Trader,A.H.Traders,1096642
1820,IKEA Mirror | Vanity Mirror | Two Sided Mirror | One Side With Magnifying Glass 2.5 times | Lead Free Mirror | Bathroom Accessories | Wash Basin Accessories | Water Resistant | Height 33 cm,//www.daraz.pk/products/ikea-mirror-vanity-mirror-two-sided-mirror-one-side-with-magnifying-glass-25-times-lead-free-mirror-bathroom-accessories-wash-basin-accessories-water-resistant-height-33-cm-i107308104-s1255702832.html?search=1,"Rs. 2,499",,5,10,True,Pakistan,https://static-01.daraz.pk/p/a621a23dd804c2e9bcd838cc90627df6.jpg,SOUK,IKEA,1035868
1821,Water Gallon Lifter Holder Picker To Lift Water Cans And Gallons,//www.daraz.pk/products/water-gallon-lifter-holder-picker-to-lift-water-cans-and-gallons-i100073897-s1057762771.html?search=1,Rs. 167,,3.94444,18,True,Pakistan,https://static-01.daraz.pk/original/b27aebafa69cb78c17fb009a3e4990ca.jpg,Asaan Living (Karachi),Asaan Living,24960
1822,"Stainless Steel Towel Rod Double Layer, Towel Holder, Bathroom Towel Bar Hotel Style, High Quality Guaranteed With Screws",//www.daraz.pk/products/stainless-steel-towel-rod-double-layer-towel-holder-bathroom-towel-bar-hotel-style-high-quality-guaranteed-with-screws-i134774570-s1295096632.html?search=1,Rs. 599,-8%,5,5,True,Pakistan,https://static-01.daraz.pk/p/0c8360edbe6870cda4776d9f243bbd5a.jpg,M.M Hardware,M.M Hardware,1016948
1823,New soap leaf Shape bathroom dish box holder,//www.daraz.pk/products/new-soap-leaf-shape-bathroom-dish-box-holder-i119800711-s1274114620.html?search=1,Rs. 299,-40%,4.66667,18,True,Pakistan,https://static-01.daraz.pk/p/410597f58e2cd28bdbbacd3ff4d99c6f.jpg,Imported Stuffs,RS Collections,1083240
1824,Pack of 2 - Bath Mat,//www.daraz.pk/products/pack-of-2-bath-mat-i118432472-s1271644555.html?search=1,Rs. 499,-50%,4,21,True,Pakistan,https://static-01.daraz.pk/p/24f66d7a6dcffab5b572b970adea8f57.jpg,SILVER TEXTILE FACTORY (Karachi),BATH AND HOME,5191
1825,ErgoBunyad - Plastic Inter Design Bathroom Kitchen Organize Shelf Rack Shower Corner with Wall Mounted Suction Cup,//www.daraz.pk/products/ergobunyad-plastic-inter-design-bathroom-kitchen-organize-shelf-rack-shower-corner-with-wall-mounted-suction-cup-i128343789-s1298576711.html?search=1,Rs. 275,-39%,4.47458,59,True,Pakistan,https://static-01.daraz.pk/p/ef47a999fde1bf9f0d87beb700d7231f.jpg,Bunyad Collection (Karachi),ErgoBunyad,22283
1826,Tooth Paste Dispenser with Toothbrush Holder - Multicolor,//www.daraz.pk/products/tooth-paste-dispenser-with-toothbrush-holder-multicolor-i103818059-s1250042668.html?search=1,Rs. 299,-51%,4.3625,80,True,Pakistan,https://static-01.daraz.pk/p/43ab6c11eb768d46c87477ea82e2085c.jpg,Multicrafts (Karachi),MULTICRAFTS,13318
1827,Squatty Potty Stool,//www.daraz.pk/products/appollo-squatty-potty-stool-i121336042-s1334034351.html?search=1,Rs. 650,,4.71429,7,True,Pakistan,https://static-01.daraz.pk/p/3d981422287cae2afb79dc5803aae679.jpg,Appollo Factory Price Shop (Karachi),Appollo,5049
1828,3 Layer Aluminium Bathroom Corner Shelf - Silver,//www.daraz.pk/products/3-layer-aluminium-bathroom-corner-shelf-silver-i107302416-s1255742235.html?search=1,"Rs. 1,499",-55%,3,2,True,Pakistan,https://static-01.daraz.pk/p/015a207a887c4f4e7015050e085a6148.jpg,Zohaib Easy Shop (Karachi),H F Gadets,25519
